Gress et al. 2026. Supplementary Material. Eidikopathidae intraspecific patristic distance comparisons.

specimen1,specimen2,species1,species2,distance
Eidikopathes_korallispongia_RSIOANT0048,Eidikopathes_korallispongia_RSIOANT0050,korallispongia,korallispongia,0.000399
Eidikopathes_sylospongia_RSIOANT0049,Eidikopathes_sylospongia_RSIOANT0051,sylospongia,sylospongia,0.001514
Eidikopathes_sylospongia_RSIOANT0049,Eidikopathes_sylospongia_USNM1467600,sylospongia,sylospongia,0.00217
Eidikopathes_sylospongia_RSIOANT0051,Eidikopathes_sylospongia_USNM1467600,sylospongia,sylospongia,0.002082
