Gress et al. 2026. Supplementary Material. Family-level patristic mean matrix.

,Antipathidae,Aphanipathidae,Cladopathidae,Eidikopathidae,Leiopathidae,Myriopathidae,Pteridopathidae,Schizopathidae,Stylopathidae
Antipathidae,0.0,0.2687743080180555,0.36778855447222225,0.3264382748722223,0.5040053607055555,0.32408063704555556,0.28650157965555556,0.37876964862698415,0.3215691836555556
Aphanipathidae,0.2687743080180555,0.0,0.19714764589999997,0.15511712830952382,0.3330300379923077,0.15291247122941176,0.11577758910655737,0.20852184263392856,0.15094393404516127
Cladopathidae,0.36778855447222225,0.19714764589999997,0.0,0.21504844933333334,0.3018792603666666,0.21269081150666663,0.17511175411666668,0.11181606548809525,0.21017935811666666
Eidikopathidae,0.3264382748722223,0.15511712830952382,0.21504844933333334,0.0,0.35126525556666666,0.1504662643642857,0.12101034091666667,0.22602954348809526,0.14784808711666667
Leiopathidae,0.5040053607055555,0.3330300379923077,0.3018792603666666,0.35126525556666666,0.0,0.34890761774,0.31132856035,0.3128603545214285,0.34639616435
Myriopathidae,0.32408063704555556,0.15291247122941176,0.21269081150666663,0.1504662643642857,0.34890761774,0.0,0.11865270309,0.22367190566142856,0.04016248528999998
Pteridopathidae,0.28650157965555556,0.11577758910655737,0.17511175411666668,0.12101034091666667,0.31132856035,0.11865270309,0.0,0.18609284827142855,0.11614124969999999
Schizopathidae,0.37876964862698415,0.20852184263392856,0.11181606548809525,0.22602954348809526,0.3128603545214285,0.22367190566142856,0.18609284827142855,0.0,0.22116045227142855
Stylopathidae,0.3215691836555556,0.15094393404516127,0.21017935811666666,0.14784808711666667,0.34639616435,0.04016248528999998,0.11614124969999999,0.22116045227142855,0.0
