Gress et al. 2026. Supplementary Material. Within-family minimum and maximum distances among resolved specimens.

family,min_distance,min_pair,max_distance,max_pair
Antipathidae,0.0032,Stichopathes_flagellum_MTQG80013 - Stichopathes_maldivensis_INVM251115,0.1008,Antipathes_simplex_MTQG80062 - Stichopathes_sp1_MTQG74923
Aphanipathidae,0.0055,Aphanipathes_cf_pedata_USNM1410008 - Aphanipathes_puertoricoensis_USNM1660436,0.0347,Acanthopathes_undulata_USNM99807 - Anozopathes_palauensis_USNM1007104
Cladopathidae,0.0158,Heteropathes_americana_USNM1483032 - Hexapathes_bikofskii_MTQG80122,0.0178,Hexapathes_bikofskii_MTQG80122 - Trissopathes_pseudotristicha_USNM1689265
Eidikopathidae,0.0038,Eidikopathes_korallispongia_RSIOANT0050 - Eidikopathes_sylospongia_RSIOANT0049,0.0082,Eidikopathes_korallispongia_RSIOANT0048 - Eidikopathes_zealandkorallia_NIWA180818
Myriopathidae,0.0078,Cupressopathes_abies_MTQG74918 - Cupressopathes_simplex_NIWA19863,0.0111,Cupressopathes_abies_MTQG74918 - Tanacetipathes_cf_hirta_USNM1695043
Pteridopathidae,0.0035,Asteriopathes_arachniformis_MTQG80021 - Asteriopathes_colini_USNM1007092,0.0336,Elatopathes_abietina_USNM1695054 - Pteridopathes_pinnata_USNM1007089
Schizopathidae,0.0055,Alternatipathes_mirabilis_USNM1070972 - Alternatipathes_venusta_USNM1404492,0.0521,Alternatipathes_bipinnata_USNM1234554 - Bathypathes_pseudoalternata_NIWA64561
Stylopathidae,0.0072,Stylopathes_americana_USNM1659395 - Stylopathes_columnaris_USNM1689097,0.0094,Stylopathes_americana_USNM1660446 - Stylopathes_columnaris_USNM1689097
