Gress et al. 2026. Supplementary Material. Specimen-level lower bootstrap confidence interval matrix for Tamura-Nei distances.

,Acanthopathes_humilis_USNM1484553,Acanthopathes_undulata_USNM99807,Allopathes_desbonni_USNM88327,Allopathes_sp_USNM1689376,Alternatipathes_bipinnata_USNM1234554,Alternatipathes_mirabilis_USNM1070972,Alternatipathes_venusta_USNM1404492,Anozopathes_hawaiiensis_USNM1010741,Anozopathes_palauensis_USNM1007104,Antipathes_aculeata_MTQG80032,Antipathes_arborea_MTQ77188,Antipathes_caribbeana_USNM1122627,Antipathes_curvata_MTQG79996,Antipathes_delicatula_MTQG77186,Antipathes_dendrochristos_USNM1467666,Antipathes_dichotoma_NMNH1280884,Antipathes_dichotoma_UGSARD13,Antipathes_falkorae_MTQG80067,Antipathes_flabellum_INVM110519,Antipathes_fruticosa_MTQG80070,Antipathes_grandis_MTQG80005,Antipathes_leptocrada_MTQG80066,Antipathes_simplex_MTQG80062,Aphanipathes_cf_pedata_USNM1410008,Aphanipathes_puertoricoensis_USNM1660436,Aphanipathes_sarothamnoides_USNM1007094,Aphanipathes_verticillata_MTQG80075,Aphanostichopathes_dissimilis_USNM1606539,Asteriopathes_arachniformis_MTQG80021,Asteriopathes_arachniformis_USNM1007096,Asteriopathes_colini_MTQG80153,Asteriopathes_colini_USNM1007092,Bathypathes_cf_patula_NIWA4295,Bathypathes_platycaulus_NIWA4288,Bathypathes_pseudoalternata_MTQG80040,Bathypathes_pseudoalternata_NIWA64561,Blastopathes_medusa_MTQ74924,Cirrhipathes_anguina_INVM110716,Cupressopathes_abies_MTQG74918,Cupressopathes_simplex_NIWA19863,Cupressopathes_sp_MTQG74917,Dendropathes_sp_CAS223580,Diplopathes_antartica_NIWA38070,Eidikopathes_korallispongia_RSIOANT0048,Eidikopathes_korallispongia_RSIOANT0050,Eidikopathes_sylospongia_RSIOANT0049,Eidikopathes_sylospongia_RSIOANT0051,Eidikopathes_sylospongia_USNM1467600,Eidikopathes_zealandkorallia_NIWA180818,Elatopathes_abietina_USNM1676346,Elatopathes_abietina_USNM1695054,Heteropathes_americana_USNM1483032,Hexapathes_bikofskii_MTQG80122,Leiopathes_annosa_USNM1071405,Leiopathes_sp_USNM1606568,Lillipathes_lilliei_CAS179055,Pteridopathes_pinnata_USNM1007089,Pteridopathes_tanycrada_USNM1007091,Rhipidipathes_helae_MTQG80117,Schizopathes_crassa_USNM78796,Stauropathes_staurocrada_USNM1071042,Stichopathes_flagellum_MTQG80013,Stichopathes_maldivensis_INVM251115,Stichopathes_sp1_MTQG74923,Stichopathes_sp2_TMAGK4320,Stichopathes_sp_USNM1695049,Stylopathes_americana_USNM1659395,Stylopathes_americana_USNM1660446,Stylopathes_columnaris_USNM1689097,Stylopathes_sp1_MTQG74916,Stylopathes_sp2_MTQG80174,Stylopathes_sp3_MTQG80044,Stylopathes_sp_USNM1689139,Tanacetipathes_cf_hirta_USNM1695043,Tanacetipathes_cf_tanacetum_USNM1695042,Telopathes_magna_USNM1204049,Trissopathes_pseudotristicha_USNM1689265,Umbellapathes_sp_CAS223581
Acanthopathes_humilis_USNM1484553,,0.0280907085040299,0.0598048369369945,0.0621433392612037,0.0932188200575723,0.0862744251754987,0.0877804782444394,0.0290727992870071,0.0297116471666449,0.1201650672754738,0.1232916537079119,0.102183350055485,0.100262607023349,0.1237531437142881,0.0677017874911953,0.0266627014624702,0.0306723354437227,0.1217084775355484,0.1197407588903015,0.102623026604919,0.1012318040968293,0.1211271589764137,0.1222836847806718,0.0278584010377797,0.0287522484666929,0.0282966859087073,0.0600223233918834,0.0287506592342336,0.0552589373906568,0.0562692358178521,0.0557649576051642,0.0554275591971258,0.0893425810501322,0.0936813779202704,0.0901495135287305,0.0873657544747924,0.0971331145288222,0.0997485871858057,0.0684369207462044,0.0687249465839989,0.069501486459912,0.0883864366037257,0.089484475873694,0.0707961327939895,0.0705877519790305,0.0701521368112416,0.0708857012318062,0.070258303834657,0.0726652335833075,0.0556367422191839,0.0578330480618714,0.0865357510502722,0.0869219921694168,0.1282632767250919,0.1299763857946561,0.0918424198758558,0.0559312699076958,0.0549288602465653,0.0958186959862717,0.0862722579682721,0.0883122302181614,0.1008912040119384,0.098216189779416,0.1020070346471506,0.0996952031398083,0.1028378531998102,0.065980352140438,0.0568632556045588,0.0681824906113978,0.0666711552506231,0.0669618480483913,0.0653400963990653,0.0667153093063779,0.0703079508097839,0.0686356312841836,0.0897422373458541,0.0831724997176354,0.0881668644943827
Acanthopathes_undulata_USNM99807,0.0280907085040299,,0.0614502655688113,0.0635721713768648,0.0952266344973468,0.0892920861051151,0.0911404366976305,0.0318825415433637,0.0324032427251054,0.1225818966942391,0.1230481372144191,0.1030215882076592,0.1011533220868378,0.1244747915016681,0.0715491576045531,0.0319411877295434,0.0350151200730775,0.1219421935205457,0.1191505246380462,0.1019321050907816,0.1015826274463762,0.1221912232955071,0.1208337845912597,0.0307254462696237,0.0326630126972111,0.031050558464286,0.0618672425737611,0.0322475749586731,0.057272298311905,0.0567363552557875,0.0579524059245548,0.0568005702661782,0.0914473463620455,0.0965196317251576,0.0914489240270162,0.0904800715926517,0.0970946408052982,0.1019368423523741,0.0704904204723462,0.0706856215656589,0.0704276321019063,0.0899454779375102,0.0926380466693169,0.072392987875185,0.0717071715880999,0.0719637949368556,0.0725981984817959,0.0720624732761392,0.0740845828398576,0.0571549974665937,0.0599655585961621,0.0883897532950007,0.089184659051603,0.1284931906155964,0.1308578462628383,0.0944873433025008,0.0584177026147656,0.0569602011445921,0.0973480211212443,0.0880014279023287,0.0909312155920814,0.0998016739440322,0.0992454702937446,0.1028829728091943,0.0997494447979387,0.1030828001916986,0.0689649028540318,0.0568032277002807,0.0699845089095899,0.0692736763492785,0.0669286247251599,0.0682203476821972,0.0694577302206995,0.0720028790216065,0.071359093292121,0.0920363421497398,0.0857443974329264,0.0898824905065423
Allopathes_desbonni_USNM88327,0.0598048369369945,0.0614502655688113,,0.0037009875521751,0.0984593953826794,0.0927568059733515,0.095425213618364,0.0576754925706112,0.0579539871222804,0.1131145793526375,0.1144331789798917,0.0914616760819389,0.0909819414317953,0.1164145468165076,0.075597675128444,0.0570595921150543,0.0587891530849141,0.1138163938187895,0.1121560978896405,0.0932180851879877,0.0928073352538617,0.11372460186502,0.116569512271808,0.0568576939091802,0.0584715109314193,0.058743652822469,0.0115071643065263,0.057284931204808,0.0643537259334297,0.0639781326006504,0.0649851232529653,0.0643763682932124,0.098585370173907,0.0999831088939733,0.0965994263060857,0.094633329060124,0.087411010225725,0.092272920713342,0.0767126367197684,0.0773870075883323,0.0779492753481782,0.0966419827465405,0.0974155901753586,0.0786569329882604,0.0782243795162788,0.0783901410000387,0.079737280741248,0.0787877510330498,0.07988670121434,0.0660019919013616,0.0664625772200744,0.0948675207966145,0.0949554137011774,0.1319670175081597,0.132973023610318,0.1010469608543477,0.065227342630857,0.0671468004068925,0.0864556258554896,0.0951153385519361,0.0972371912935751,0.0919284561119935,0.0901058062778515,0.0931888475530143,0.0911867567399348,0.0939862556700084,0.0741577090689567,0.0549191210403588,0.0766200371515142,0.0747798048098419,0.0728032743312908,0.0742408870675805,0.0762549103165393,0.0781767777472937,0.0760547156024731,0.0961420314374623,0.0920122546150961,0.0947021359013445
Allopathes_sp_USNM1689376,0.0621433392612037,0.0635721713768648,0.0037009875521751,,0.1014614656439125,0.0954660457271407,0.0970702053938712,0.0585925017491264,0.0604114503679542,0.1155841887156773,0.1181527904595078,0.0919117813067915,0.0900276009534739,0.1187115364018738,0.0780984748320022,0.0574643105778413,0.0612873014950543,0.1169950150177109,0.114806380445608,0.0938617504274495,0.0923917250604097,0.1169996641109541,0.1171021164746818,0.0590395038931503,0.0602458377013736,0.0585360796727029,0.011658779627314,0.0599456976113372,0.0661200267125406,0.0644451042445456,0.0666604080302022,0.0656784908463988,0.0985184091774762,0.102873824915857,0.0979277591294219,0.0980167061570992,0.0882680712929874,0.0926426969335468,0.0761164150796978,0.0774392004113551,0.0773105229794333,0.0967739615462801,0.1016065198940684,0.0805057973089088,0.0804331382409544,0.0794296555820212,0.080096942008122,0.0793189634982263,0.0834310637800526,0.0640911992224116,0.0670792127951319,0.0968121032323289,0.0952441041205804,0.1329902653132121,0.1351053737380258,0.1021991189189046,0.0675188112304535,0.0644723058781736,0.0870511170831364,0.0955468499373884,0.0978917585145444,0.0930073647272832,0.0899502077654169,0.0920208481721524,0.0908144799897253,0.0944882913542969,0.0748384143849273,0.0626931130746966,0.0770193464495178,0.0767936224638827,0.0780356616893811,0.0760574739534512,0.0771548410303126,0.0797016680164285,0.0772600632753139,0.098390953880905,0.0902277417771187,0.0957357263486071
Alternatipathes_bipinnata_USNM1234554,0.0932188200575723,0.0952266344973468,0.0984593953826794,0.1014614656439125,,0.0320297404605627,0.0338807067835798,0.0903120891890524,0.0925608663677626,0.1470090523102847,0.1477738516491143,0.1320750427373992,0.1285605302759609,0.1486650628120035,0.0920003084608893,0.0871243230363374,0.0871012204987877,0.1474643844578301,0.1435835133355354,0.1315748445587773,0.1313095506209549,0.1452843093326675,0.146562908405064,0.0952820210569312,0.0906664944587435,0.0882829200249816,0.099288057220376,0.091615013501987,0.082892484134885,0.082775127440529,0.0818850781452587,0.0831167339444325,0.042767681448296,0.0320972621851071,0.040427273710748,0.0438073407657118,0.1280286266087565,0.1274303515720218,0.0934590418288132,0.0942093164710011,0.0951800506975001,0.0223958131434613,0.0373524596800739,0.095420599787198,0.0952412192240786,0.096985185495565,0.0975470926813835,0.0950075625858818,0.0988425362020721,0.0788005950491074,0.0839900697510459,0.0584124827888629,0.0586869109552081,0.1255021211250578,0.128383649170628,0.0384610123131174,0.0864182943865101,0.0811751781685348,0.1256948912964842,0.0320232988681234,0.0413887249352526,0.1306353692461479,0.129207252381884,0.1311292709896507,0.1281496834356879,0.1337992702899373,0.0901316751897851,0.070757246603911,0.0935434943197046,0.092219540610393,0.0931134376512338,0.0895431763845235,0.0936704627693283,0.0970424329028448,0.0945245733795111,0.0429600172263009,0.0527939354606276,0.0078832032526194
Alternatipathes_mirabilis_USNM1070972,0.0862744251754987,0.0892920861051151,0.0927568059733515,0.0954660457271407,0.0320297404605627,,0.0037668913290507,0.0840400025767625,0.0852914430260748,0.1446191103194221,0.1436926252891425,0.1260967795920989,0.1243961367105361,0.1450843827143399,0.0872916628578267,0.0841292400649298,0.0868882453348195,0.1449423914087817,0.1399605113306043,0.128953612384078,0.1277375161421404,0.1435106619593527,0.1438534443116127,0.0868997547875448,0.0858446874861535,0.0847085309885152,0.0957509162741012,0.0859635575372147,0.0788421807730952,0.0754872197080328,0.0764999349821474,0.077904381274624,0.0375964245742039,0.0373552614687201,0.036409749631175,0.035741608867116,0.1243648386863666,0.1250183143376073,0.089766630844918,0.0900034306655589,0.0906014736171847,0.0274673308271206,0.0272700376518787,0.0919631029676856,0.0913771041130835,0.0915146311608056,0.093019717356707,0.091533152458032,0.0953266669302746,0.0771292984534997,0.0795423931419718,0.0537583848493317,0.0540736475259085,0.1217302367888029,0.1239744667062907,0.0292388784691132,0.0781029184029842,0.0745025832500441,0.1222035709858859,0.0097308574825422,0.0373134244554342,0.1273801303541565,0.124301612994074,0.1295322689954174,0.1270763036121121,0.1291231811549961,0.0864153718905467,0.0744502195367107,0.0896008546466605,0.0871657550094606,0.0853025985243726,0.0864625990107817,0.0889748807212044,0.0912667698376961,0.0898455272218751,0.0397831672120429,0.0520723516740774,0.0277721575316281
Alternatipathes_venusta_USNM1404492,0.0877804782444394,0.0911404366976305,0.095425213618364,0.0970702053938712,0.0338807067835798,0.0037668913290507,,0.0853644555099844,0.0868532781878557,0.1460175161268975,0.1448617382034031,0.1295200195431413,0.1270125304800599,0.145738245203056,0.089449110187923,0.0852369411319291,0.0872531668115115,0.1455610221808876,0.1416729335552479,0.1321155947325725,0.1302982548786389,0.1447676683996629,0.1453653519626526,0.0894126389391547,0.0855400897390569,0.0871040973401626,0.0955348433745483,0.0862323814595869,0.0812214233911398,0.0777579328846557,0.0788704050247007,0.0796628288986445,0.037406644846256,0.0371506410504093,0.0355520373909372,0.0361721907190094,0.1271613957191055,0.1278887322442009,0.0928106420225013,0.092281179809603,0.0917426045330081,0.0274295008349346,0.0279626131248069,0.0929478135711638,0.0931585649342136,0.0937974917182846,0.0945989818285329,0.0930163796584046,0.0958740819235791,0.0779674270257667,0.0823775039874082,0.0540401224311768,0.0554180965181169,0.1233039806978366,0.1252461977419802,0.0276722783161148,0.0811678195147571,0.0785804008662084,0.1257896902089756,0.0094213338424904,0.0373441468233987,0.129047347254688,0.1263629085830122,0.1293895151493432,0.1288788959428896,0.1317405836519066,0.0889040362667138,0.0750803899768833,0.0919493627314244,0.091025810581829,0.0883678551554892,0.0883718906698372,0.0912899105212033,0.0934837723660714,0.0924399831144973,0.0387124456508973,0.051988864657853,0.027190989616329
Anozopathes_hawaiiensis_USNM1010741,0.0290727992870071,0.0318825415433637,0.0576754925706112,0.0585925017491264,0.0903120891890524,0.0840400025767625,0.0853644555099844,,0.0052920081358629,0.1193155353505917,0.1224020916087928,0.1013601040033572,0.0988891682225756,0.1217203276377676,0.0666909453472631,0.008293218573814,0.0113159728424301,0.1192848027498374,0.1172838382394857,0.1008065235640067,0.0983680181499002,0.119712965025947,0.118602394401598,0.0264687883997635,0.0269435314330321,0.0275632278105833,0.0587880912599484,0.0096421673852686,0.051956877437058,0.0522619695318481,0.0538245850467265,0.0539501703618105,0.0855098602554285,0.0905067576137166,0.0869250897877809,0.0877316388625682,0.0966003068367402,0.1005163544597822,0.0687074099352036,0.0671398133120174,0.0689305151354868,0.085629776786497,0.0870623082928197,0.070033813473876,0.0681687635965478,0.068489812871306,0.0692954037898973,0.0690898466584612,0.0706061374819697,0.0564417219764112,0.0562913707191712,0.0845382980818617,0.0854667287852075,0.1235466761729218,0.1256910580210542,0.0892066893518498,0.0545984668775724,0.0545388117178439,0.0945681959341804,0.0836375973049452,0.0858363153475327,0.0982788163695073,0.0990817512538726,0.1007347243976042,0.0983692175999431,0.1017323655417243,0.0663827466046223,0.0519742945583739,0.0671152154889923,0.0670092625862343,0.0626470309402178,0.0629469831115032,0.0664563523810755,0.0703216793002633,0.0690294952555515,0.0876380748306736,0.0806672847174182,0.0864115735221453
Anozopathes_palauensis_USNM1007104,0.0297116471666449,0.0324032427251054,0.0579539871222804,0.0604114503679542,0.0925608663677626,0.0852914430260748,0.0868532781878557,0.0052920081358629,,0.1198087083598256,0.1208543733176037,0.0987274899114752,0.0998038024389755,0.1229022877384928,0.0669481820537407,0.0076091815495356,0.0119762146318092,0.1195226886874275,0.1183325979869783,0.1008515123736572,0.1005740889813349,0.1190949716191652,0.121564093387712,0.0268321460143229,0.0281605988993566,0.028083762454279,0.058295414390956,0.0097358919028352,0.0542496316495738,0.0556204406066373,0.0550714491283027,0.053385031851779,0.091637750542715,0.0930656079455258,0.0883897626136308,0.0872383398651362,0.0960156970980907,0.1013737722211165,0.068213207893769,0.0676316958198948,0.0685635431967527,0.0867696847538053,0.0890181999937619,0.0703462902572652,0.0693340973382597,0.0695740786458393,0.0705758467214427,0.0701943020677111,0.0717210952709892,0.0550605822733464,0.057336045057823,0.086537859156216,0.0864636119237709,0.1264322107232053,0.1303437688163298,0.091682183229597,0.0560153490548329,0.0540316813586816,0.095529040713443,0.0844136933213071,0.0879731170067502,0.1013490839460473,0.0980539990076609,0.1026586176426553,0.0994015525194829,0.1034947755238949,0.0662629449777747,0.0519504511637783,0.0665904480257891,0.0672473917405347,0.0652383743145607,0.0655478253109725,0.0663325932955499,0.0693656428613125,0.068633418399585,0.0880746798829461,0.0838103578214896,0.0872460247561357
Antipathes_aculeata_MTQG80032,0.1201650672754738,0.1225818966942391,0.1131145793526375,0.1155841887156773,0.1470090523102847,0.1446191103194221,0.1460175161268975,0.1193155353505917,0.1198087083598256,,0.0249318707257096,0.0840732681652197,0.0817347195495402,0.0255728781702403,0.1274549606708174,0.1162078942138084,0.121785437963087,0.0027050835064574,0.0251328458854414,0.0852046925209058,0.0849759344418606,0.0193924424377536,0.0270006896778442,0.1212051646299095,0.1173274391427325,0.1203948642492634,0.1149662720701689,0.1223296524406711,0.124159591615285,0.1243692334654534,0.121789694079603,0.1229518752859643,0.1480597282668219,0.1501608975081087,0.1471040073762951,0.1420777189490651,0.0813975037419993,0.0845193029878804,0.1289230981937988,0.1307349860831429,0.1308732119839486,0.146183133094906,0.1448383328944938,0.1311836921047308,0.1307684748204363,0.1314738065327798,0.1333532366007896,0.1324835265349549,0.1363570369745204,0.1184782861128676,0.1248562270436431,0.1435794729886065,0.1440764750452063,0.1685912312953656,0.1708003054318342,0.1470721599700178,0.12690473635063,0.1194969970866663,0.0785327941345596,0.1428775540688224,0.1464079933106702,0.0842907540968593,0.0835901899347159,0.0832946152383399,0.0823585844015956,0.0845018778695919,0.1258004493190791,0.1027666419312181,0.1293993335315297,0.1294910039766853,0.1273212983338,0.1279089371275579,0.1298422821426822,0.1309388021455593,0.1289326727147026,0.1469017709911222,0.139819714346245,0.146003961315809
