Gress et al. 2026. Supplementary Material. Family-level mean Tamura-Nei distance matrix.

,Antipathidae,Aphanipathidae,Cladopathidae,Eidikopathidae,Leiopathidae,Myriopathidae,Pteridopathidae,Schizopathidae,Stylopathidae
Antipathidae,0.0,0.1177189955635191,0.14590066849111435,0.13259541342066541,0.17633447797743682,0.13026325086990312,0.12255924182888273,0.1484270963333143,0.12551430090964757
Aphanipathidae,0.1177189955635191,0.0,0.09536771639294488,0.07678680141403636,0.1429031168763956,0.0743988726163789,0.060293041447644496,0.09829944675555867,0.07272154829434865
Cladopathidae,0.14590066849111435,0.09536771639294488,0.0,0.10079784709117674,0.13646235982553231,0.09935202354187758,0.08642394336652323,0.061200368779498596,0.09415859923805103
Eidikopathidae,0.13259541342066541,0.07678680141403636,0.10079784709117674,0.0,0.14734377805010912,0.07653197196305614,0.06360906367025738,0.10448889871195667,0.0750065201519687
Leiopathidae,0.17633447797743682,0.1429031168763956,0.13646235982553231,0.14734377805010912,0.0,0.14705568609131417,0.13803928987964742,0.13982306377637932,0.14508682568337244
Myriopathidae,0.13026325086990312,0.0743988726163789,0.09935202354187758,0.07653197196305614,0.14705568609131417,0.0,0.06103432582316696,0.10294714308888649,0.022393942227102802
Pteridopathidae,0.12255924182888273,0.060293041447644496,0.08642394336652323,0.06360906367025738,0.13803928987964742,0.06103432582316696,0.0,0.09018501218180373,0.059260409766549886
Schizopathidae,0.1484270963333143,0.09829944675555867,0.061200368779498596,0.10448889871195667,0.13982306377637932,0.10294714308888649,0.09018501218180373,0.0,0.10041074359332135
Stylopathidae,0.12551430090964757,0.07272154829434865,0.09415859923805103,0.0750065201519687,0.14508682568337244,0.022393942227102802,0.059260409766549886,0.10041074359332135,0.0
